Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
"BioMarin Pharmaceutical, Inc.","BioMarin Pharmaceutical, Inc.",,United States of America (USA)
"Honeywell International, Inc.","Honeywell International, Inc.",,United States of America (USA)
Kenyon College,Kenyon College,,United States of America (USA)
Jacobs,Jacobs,,United States of America (USA)
Oberlin College,Oberlin College,,United States of America (USA)
"Noble Research Institute, LLC","Noble Research Institute, LLC",,United States of America (USA)
Heidelberg University,Heidelberg University,,United States of America (USA)
"EpiCypher, Inc.","EpiCypher, Inc.",,United States of America (USA)
Monterey Bay Aquarium,Monterey Bay Aquarium,,United States of America (USA)
Kennedy Krieger Institute,Kennedy Krieger Institute,,United States of America (USA)
CDM Smith Inc.,CDM Smith Inc.,,United States of America (USA)
"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,United States of America (USA)
Carleton College,Carleton College,,United States of America (USA)
"National Academies of Sciences, Engineering, and Medicine","National Academies of Sciences, Engineering, and Medicine",,United States of America (USA)
Western Digital Corporation,Western Digital Corporation,,United States of America (USA)
Synlogic,Synlogic,,United States of America (USA)
Allchemy Inc.,Allchemy Inc.,,United States of America (USA)
Hampton University,Hampton University,,United States of America (USA)
"Seer, Inc.","Seer, Inc.",,United States of America (USA)
Colby College,Colby College,,United States of America (USA)
"Grail, Inc.","Grail, Inc.",,United States of America (USA)
"Arrowhead Pharmaceuticals, Inc.","Arrowhead Pharmaceuticals, Inc.",,United States of America (USA)
Middlebury College,Middlebury College,,United States of America (USA)
BostonGene Corporation,BostonGene Corporation,,United States of America (USA)
The University of Tulsa,The University of Tulsa,,United States of America (USA)
Barnard College,Barnard College,,United States of America (USA)
Santa Clara University,Santa Clara University,,United States of America (USA)
Towson University,Towson University,,United States of America (USA)
Bard College,Bard College,,United States of America (USA)
Altius Institute for Biomedical Sciences,Altius Institute for Biomedical Sciences,,United States of America (USA)
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,,United States of America (USA)
"Editas Medicine, Inc.","Editas Medicine, Inc.",,United States of America (USA)
Lockheed Martin Corporation,Lockheed Martin Corporation,,United States of America (USA)
Chevron Corporation,Chevron Corporation,,United States of America (USA)
Texas Instruments Incorporated,Texas Instruments Incorporated,,United States of America (USA)
Emulate Inc.,Emulate Inc.,,United States of America (USA)
Seton Hall University,Seton Hall University,,United States of America (USA)
Milwaukee School of Engineering,Milwaukee School of Engineering,,United States of America (USA)
Ribon Therapeutics,Ribon Therapeutics,,United States of America (USA)
Wave Life Sciences Ltd.,Wave Life Sciences Ltd.,,United States of America (USA)
Zedika Solutions LLC,Zedika Solutions LLC,,United States of America (USA)
"Vicarious FPC, Inc.","Vicarious FPC, Inc.",,United States of America (USA)
Inorganic Ventures,Inorganic Ventures,,United States of America (USA)
"Butterfly Network, Inc.","Butterfly Network, Inc.",,United States of America (USA)
"Surrozen, Inc.","Surrozen, Inc.",,United States of America (USA)
Synthekine Inc.,Synthekine Inc.,,United States of America (USA)
"Rubius Therapeutics, Inc.","Rubius Therapeutics, Inc.",,United States of America (USA)
SWK Research,SWK Research,,United States of America (USA)
Quantinuum Ltd.,Quantinuum Ltd.,,United States of America (USA)
Salus University,Salus University,,United States of America (USA)
Framingham State University,Framingham State University,,United States of America (USA)
Home Point Financial Corporation,Home Point Financial Corporation,,United States of America (USA)
Texas State University - San Marcos,Texas State University - San Marcos,,United States of America (USA)
Bowdoin College,Bowdoin College,,United States of America (USA)
"UES, Inc.","UES, Inc.",,United States of America (USA)
"Schrödinger, LLC","Schrödinger, LLC",,United States of America (USA)
"X, the moonshot factory","X, the moonshot factory",,United States of America (USA)
Battelle Memorial Institute,Battelle Memorial Institute,,United States of America (USA)
"Amicus Therapeutics, Inc.","Amicus Therapeutics, Inc.",,United States of America (USA)
"Kaleido Biosciences, Inc.","Kaleido Biosciences, Inc.",,United States of America (USA)
Colgate-Palmolive Company,Colgate-Palmolive Company,,United States of America (USA)
Roswell Biotechnologies Inc.,Roswell Biotechnologies Inc.,,United States of America (USA)
"Revolution Medicines, Inc.","Revolution Medicines, Inc.",,United States of America (USA)
National Optical-Infrared Astronomy Research Laboratory,National Optical-Infrared Astronomy Research Laboratory,,United States of America (USA)
"Integrated DNA Technologies, Inc.","Integrated DNA Technologies, Inc.",,United States of America (USA)
"Caribou Biosciences, Inc.","Caribou Biosciences, Inc.",,United States of America (USA)
"Illumina, Inc.","Illumina, Inc.",,United States of America (USA)
"Nooma Bio, Inc.","Nooma Bio, Inc.",,United States of America (USA)
Geosyntec Consultants,Geosyntec Consultants,,United States of America (USA)
Morgan State University,Morgan State University,,United States of America (USA)
"Verve Therapeutics, Inc.","Verve Therapeutics, Inc.",,United States of America (USA)
Nova Southeastern University,Nova Southeastern University,,United States of America (USA)
The Paul G. Allen Family Foundation,The Paul G. Allen Family Foundation,,United States of America (USA)
Lumen Biomics Inc.,Lumen Biomics Inc.,,United States of America (USA)
"Twitter, Inc.","Twitter, Inc.",,United States of America (USA)
Sage Bionetworks,Sage Bionetworks,,United States of America (USA)
"Vajra Instruments, Inc.","Vajra Instruments, Inc.",,United States of America (USA)
ChromaCode Inc.,ChromaCode Inc.,,United States of America (USA)
The University of Texas at Tyler,The University of Texas at Tyler,,United States of America (USA)
"Selecta Biosciences, Inc.","Selecta Biosciences, Inc.",,United States of America (USA)
Loki Incorporated,Loki Incorporated,,United States of America (USA)
"PerkinElmer, Inc.","PerkinElmer, Inc.",,United States of America (USA)
"Applied Materials, Inc.","Applied Materials, Inc.",,United States of America (USA)
Skidmore College,Skidmore College,,United States of America (USA)
The Lubrizol Corporation,The Lubrizol Corporation,,United States of America (USA)
Metropolitan Water District of Southern California,Metropolitan Water District of Southern California,,United States of America (USA)
Hofstra University,Hofstra University,,United States of America (USA)
NVIDIA Corporation,NVIDIA Corporation,,United States of America (USA)
Davidson College,Davidson College,,United States of America (USA)
Roosevelt University,Roosevelt University,,United States of America (USA)
Adimab LLC,Adimab LLC,,United States of America (USA)
Washington State Department of Health,Washington State Department of Health,,United States of America (USA)
Andrews University,Andrews University,,United States of America (USA)
"Vera Therapeutics, Inc.","Vera Therapeutics, Inc.",,United States of America (USA)
"Mapp Biopharmaceutical, Inc.","Mapp Biopharmaceutical, Inc.",,United States of America (USA)
Sibel Inc.,Sibel Inc.,,United States of America (USA)
Haskins Laboratories,Haskins Laboratories,,United States of America (USA)
UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,,United States of America (USA)
Carle Foundation,Carle Foundation,,United States of America (USA)
GeneDx Inc.,GeneDx Inc.,,United States of America (USA)
University of Wisconsin-Stevens Point,University of Wisconsin-Stevens Point,,United States of America (USA)
NSF's NOIRLab,NSF's NOIRLab,,United States of America (USA)
Occidental College,Occidental College,,United States of America (USA)
Cleveland State University,Cleveland State University,,United States of America (USA)
Providence Health & Services,Providence Health & Services,,United States of America (USA)
Daylight Solutions Inc.,Daylight Solutions Inc.,,United States of America (USA)
ImmunoWork LLC,ImmunoWork LLC,,United States of America (USA)
"Jana Care, Inc.","Jana Care, Inc.",,United States of America (USA)
Tenaya Therapeutics,Tenaya Therapeutics,,United States of America (USA)
"Deluge Biotechnologies, Inc.","Deluge Biotechnologies, Inc.",,United States of America (USA)
Duquesne University,Duquesne University,,United States of America (USA)
"Novavax, Inc.","Novavax, Inc.",,United States of America (USA)
Indiana State University,Indiana State University,,United States of America (USA)
Georgia Southern University,Georgia Southern University,,United States of America (USA)
Fluidigm Corporation,Fluidigm Corporation,,United States of America (USA)
Grinnell College,Grinnell College,,United States of America (USA)
College of the Holy Cross,College of the Holy Cross,,United States of America (USA)
Shirley Ryan AbilityLab,Shirley Ryan AbilityLab,,United States of America (USA)
Haverford College,Haverford College,,United States of America (USA)
PPG Industries,PPG Industries,,United States of America (USA)
"Avalo Therapeutics, Inc.","Avalo Therapeutics, Inc.",,United States of America (USA)
"Chan Zuckerberg Initiative, LLC","Chan Zuckerberg Initiative, LLC",,United States of America (USA)
Xerion Advanced Battery Corp.,Xerion Advanced Battery Corp.,,United States of America (USA)
LanzaTech Inc.,LanzaTech Inc.,,United States of America (USA)
Union College,Union College,,United States of America (USA)
Colgate University,Colgate University,,United States of America (USA)
NuProbe USA Inc.,NuProbe USA Inc.,,United States of America (USA)
Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated,,United States of America (USA)
"ionQ, Inc.","ionQ, Inc.",,United States of America (USA)
"OEwaves, Inc.","OEwaves, Inc.",,United States of America (USA)
Swarthmore College,Swarthmore College,,United States of America (USA)
"Guardant Health, Inc.","Guardant Health, Inc.",,United States of America (USA)
Mount St. Mary's University,Mount St. Mary's University,,United States of America (USA)
Baylor Scott & White Health,Baylor Scott & White Health,,United States of America (USA)
"Keysight Technologies, Inc.","Keysight Technologies, Inc.",,United States of America (USA)
Calculation Consulting,Calculation Consulting,,United States of America (USA)
"Ring Therapeutics, Inc.","Ring Therapeutics, Inc.",,United States of America (USA)
"Capricor Therapeutics, Inc.","Capricor Therapeutics, Inc.",,United States of America (USA)
"Ventus Therapeutics, Inc.","Ventus Therapeutics, Inc.",,United States of America (USA)
"Axial Therapeutics, Inc.","Axial Therapeutics, Inc.",,United States of America (USA)
"Cerevel Therapeutics, LLC","Cerevel Therapeutics, LLC",,United States of America (USA)
"Nanoimaging Services, Inc.","Nanoimaging Services, Inc.",,United States of America (USA)
Angelo State University,Angelo State University,,United States of America (USA)
"InterX, Inc.","InterX, Inc.",,United States of America (USA)
California Academy of Sciences,California Academy of Sciences,,United States of America (USA)
Dickinson College,Dickinson College,,United States of America (USA)
"Codagenix, Inc.","Codagenix, Inc.",,United States of America (USA)
Worcester State University,Worcester State University,,United States of America (USA)
Kennedy/Jenks Consultants,Kennedy/Jenks Consultants,,United States of America (USA)
Decision Research,Decision Research,,United States of America (USA)
"Pacific Biosciences of California, Inc.","Pacific Biosciences of California, Inc.",,United States of America (USA)
"Pegasus Technical Services, Inc.","Pegasus Technical Services, Inc.",,United States of America (USA)
"Science Data Software, LLC","Science Data Software, LLC",,United States of America (USA)
Toxic-Free Future,Toxic-Free Future,,United States of America (USA)
Ben Taub General Hospital,Ben Taub General Hospital,,United States of America (USA)
"Pharmaron, Inc.","Pharmaron, Inc.",,United States of America (USA)
Missouri State University,Missouri State University,,United States of America (USA)
3M Company,3M Company,,United States of America (USA)
GlobalFoundries Inc.,GlobalFoundries Inc.,,United States of America (USA)
"Biobot Analytics, Inc.","Biobot Analytics, Inc.",,United States of America (USA)
"Scribe Biosciences, Inc.","Scribe Biosciences, Inc.",,United States of America (USA)
Halozyme Therapeutics,Halozyme Therapeutics,,United States of America (USA)
"Color Health, Inc.","Color Health, Inc.",,United States of America (USA)
Utah Geological Survey,Utah Geological Survey,,United States of America (USA)
University of New Haven,University of New Haven,,United States of America (USA)
ConfometRx,ConfometRx,,United States of America (USA)
"Foundation Medicine, Inc.","Foundation Medicine, Inc.",,United States of America (USA)
Touro College and University System,Touro College and University System,,United States of America (USA)
"MyOme, Inc.","MyOme, Inc.",,United States of America (USA)
"Viela Bio, Inc.","Viela Bio, Inc.",,United States of America (USA)
Lundbeck Research USA,Lundbeck Research USA,,United States of America (USA)
Suffolk University,Suffolk University,,United States of America (USA)
Megadalton Solutions,Megadalton Solutions,,United States of America (USA)
Innospec Inc.,Innospec Inc.,,United States of America (USA)
Soteria Biotherapeutics,Soteria Biotherapeutics,,United States of America (USA)
Canary Foundation,Canary Foundation,,United States of America (USA)
St. Olaf College,St. Olaf College,,United States of America (USA)
Washington and Lee University,Washington and Lee University,,United States of America (USA)
Entasis Therapeutics,Entasis Therapeutics,,United States of America (USA)
Banner Health,Banner Health,,United States of America (USA)
